ranking,nome_jogo,plataforma,ano,genero,editora,NA_vendas,EU_vendas,JP_vendas,outras_vendas,global_vendas,preco,receita_NA,receita_EU,receita_JP,receita_outras,receita_global,anos_desde_lancamento
9507,Ape Escape 3,PS2,2005.0,Platform,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,26.61,1.6,1.33,0.0,0.53,3.46,19
9508,Green Lantern: Rise of the Manhunters,X360,2011.0,Action,Warner Bros. Interactive Entertainment,0.07,0.05,0.0,0.01,0.13,62.46,4.37,3.12,0.0,0.62,8.12,13
9509,"Crouching Tiger, Hidden Dragon",PS2,2003.0,Action,Ubisoft,0.06,0.05,0.0,0.02,0.13,62.54,3.75,3.13,0.0,1.25,8.13,21
9510,Last Bronx,SAT,1996.0,Fighting,Sega,0.0,0.0,0.13,0.0,0.13,19.02,0.0,0.0,2.47,0.0,2.47,28
9511,Iridion II,GBA,2003.0,Shooter,Vivendi Games,0.09,0.03,0.0,0.0,0.13,49.66,4.47,1.49,0.0,0.0,6.46,21
9512,Momotaro Douchuuki,SAT,1997.0,Misc,Hudson Soft,0.0,0.0,0.13,0.0,0.13,21.51,0.0,0.0,2.8,0.0,2.8,27
9513,Brothers: A Tale of Two Sons,PS4,2015.0,Adventure,505 Games,0.03,0.08,0.0,0.02,0.13,66.02,1.98,5.28,0.0,1.32,8.58,9
9514,Tom Clancy's Splinter Cell: Double Agent,Wii,2006.0,Action,Ubisoft,0.1,0.01,0.0,0.01,0.13,35.01,3.5,0.35,0.0,0.35,4.55,18
9515,Whiplash,PS2,2003.0,Racing,Eidos Interactive,0.06,0.05,0.0,0.02,0.13,27.34,1.64,1.37,0.0,0.55,3.55,21
9516,BlazBlue: Continuum Shift II,PSP,2011.0,Fighting,PQube,0.03,0.02,0.07,0.01,0.13,47.77,1.43,0.96,3.34,0.48,6.21,13
9517,Backyard Sports Football: Rookie Rush,Wii,2010.0,Sports,Atari,0.12,0.0,0.0,0.01,0.13,14.91,1.79,0.0,0.0,0.15,1.94,14
9518,Warcraft III: Reign of Chaos,PC,2002.0,Strategy,Vivendi Games,0.03,0.08,0.0,0.02,0.13,57.88,1.74,4.63,0.0,1.16,7.52,22
9519,Farming Simulator 2011,PC,2010.0,Simulation,,0.0,0.13,0.0,0.0,0.13,39.68,0.0,5.16,0.0,0.0,5.16,14
9520,Margot's Word Brain,Wii,2008.0,Puzzle,Zoo Digital Publishing,0.12,0.0,0.0,0.01,0.13,24.14,2.9,0.0,0.0,0.24,3.14,16
9521,Spider-Man: Battle for New York,DS,2006.0,Platform,Activision,0.12,0.0,0.0,0.01,0.13,19.26,2.31,0.0,0.0,0.19,2.5,18
9522,Imagine: Fashion Designer,3DS,2011.0,Simulation,Ubisoft,0.1,0.02,0.0,0.01,0.13,40.81,4.08,0.82,0.0,0.41,5.31,13
9523,Pop'n Music Portable,PSP,2010.0,Misc,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,65.66,0.0,0.0,8.54,0.0,8.54,14
9524,Nintendo Puzzle Collection,GC,,Puzzle,Unknown,0.0,0.0,0.13,0.0,0.13,27.08,0.0,0.0,3.52,0.0,3.52,0
9525,Borderlands: Double Game Add-On Pack,X360,2010.0,Shooter,Take-Two Interactive,0.1,0.02,0.0,0.01,0.13,40.4,4.04,0.81,0.0,0.4,5.25,14
9526,Otogi: Myth of Demons,XB,2002.0,Action,Sega,0.08,0.02,0.03,0.0,0.13,57.51,4.6,1.15,1.73,0.0,7.48,22
9527,The Price is Right 2010 Edition,DS,2009.0,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13,48.19,5.78,0.0,0.0,0.48,6.26,15
9528,Army Men: Soldiers of Misfortune,Wii,2008.0,Shooter,Zoo Games,0.12,0.0,0.0,0.01,0.13,15.63,1.88,0.0,0.0,0.16,2.03,16
9529,Alter Echo,PS2,2003.0,Shooter,THQ,0.06,0.05,0.0,0.02,0.13,58.14,3.49,2.91,0.0,1.16,7.56,21
9530,Walt Disney Pictures Presents: The Wild,GBA,2006.0,Platform,Disney Interactive Studios,0.09,0.03,0.0,0.0,0.13,68.25,6.14,2.05,0.0,0.0,8.87,18
9531,Puzzle de Harvest Moon,DS,2007.0,Puzzle,Natsume,0.12,0.0,0.0,0.01,0.13,16.11,1.93,0.0,0.0,0.16,2.09,17
9532,Reader Rabbit Kindergarten,Wii,2010.0,Misc,Graffiti,0.12,0.0,0.0,0.01,0.13,51.09,6.13,0.0,0.0,0.51,6.64,14
9533,Onechanbara: Bikini Samurai Squad,X360,2006.0,Action,D3Publisher,0.11,0.01,0.0,0.01,0.13,24.07,2.65,0.24,0.0,0.24,3.13,18
9534,Metal Max 3,DS,2010.0,Role-Playing,Enterbrain,0.0,0.0,0.13,0.0,0.13,18.72,0.0,0.0,2.43,0.0,2.43,14
9535,Rock Band Track Pack Volume 1,PS2,2008.0,Misc,MTV Games,0.06,0.05,0.0,0.02,0.13,38.49,2.31,1.92,0.0,0.77,5.0,16
9536,Puyo Puyo!! 20th Anniversary,3DS,2011.0,Puzzle,Sega,0.0,0.0,0.13,0.0,0.13,21.36,0.0,0.0,2.78,0.0,2.78,13
9537,Hour of Victory,X360,2007.0,Shooter,Midway Games,0.1,0.01,0.0,0.01,0.13,35.82,3.58,0.36,0.0,0.36,4.66,17
9538,Namco Soccer Prime Goal,PS,1995.0,Sports,Sony Computer Entertainment,0.0,0.0,0.12,0.01,0.13,16.76,0.0,0.0,2.01,0.17,2.18,29
9539,NBA 08,PS2,2007.0,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,36.26,2.18,1.81,0.0,0.73,4.71,17
9540,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016.0,Action,Square Enix,0.0,0.0,0.13,0.0,0.13,68.01,0.0,0.0,8.84,0.0,8.84,8
9541,Monster Hunter Frontier Online,X360,2010.0,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13,41.72,0.0,0.0,5.42,0.0,5.42,14
9542,Green Lantern: Rise of the Manhunters,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,57.21,5.15,1.72,0.0,0.57,7.44,13
9543,Shin Megami Tensei: Digital Devil Saga,PS2,2004.0,Role-Playing,Ghostlight,0.06,0.05,0.0,0.02,0.13,54.37,3.26,2.72,0.0,1.09,7.07,20
9544,7 Wonders of the Ancient World,DS,2007.0,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13,15.95,1.6,0.16,0.0,0.16,2.07,17
9545,Backyard Baseball '09,DS,2008.0,Sports,Atari,0.12,0.0,0.0,0.01,0.13,47.5,5.7,0.0,0.0,0.48,6.18,16
9546,Puppies 3D,3DS,2011.0,Misc,Ubisoft,0.08,0.04,0.0,0.01,0.13,50.99,4.08,2.04,0.0,0.51,6.63,13
9547,Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,PS2,2005.0,Misc,Sega,0.0,0.0,0.13,0.0,0.13,12.01,0.0,0.0,1.56,0.0,1.56,19
9548,Mystic Ark,SNES,1995.0,Role-Playing,Enix Corporation,0.0,0.0,0.13,0.0,0.13,34.13,0.0,0.0,4.44,0.0,4.44,29
9549,Just Cause 2,PC,2010.0,Action,Square Enix,0.0,0.1,0.0,0.03,0.13,55.09,0.0,5.51,0.0,1.65,7.16,14
9550,Ty the Tasmanian Tiger 2: Bush Rescue,GBA,2004.0,Platform,Electronic Arts,0.09,0.03,0.0,0.0,0.13,32.58,2.93,0.98,0.0,0.0,4.24,20
9551,Venetica,PS3,2010.0,Role-Playing,DTP Entertainment,0.07,0.04,0.0,0.02,0.13,28.06,1.96,1.12,0.0,0.56,3.65,14
9552,Teenage Mutant Ninja Turtles 2: Battle Nexus,XB,2004.0,Action,Konami Digital Entertainment,0.1,0.03,0.0,0.0,0.13,53.63,5.36,1.61,0.0,0.0,6.97,20
9553,LEGO Racers 2,PS2,2001.0,Racing,Electronic Arts,0.06,0.05,0.0,0.02,0.13,16.42,0.99,0.82,0.0,0.33,2.13,23
9554,Backyard Baseball,GC,2003.0,Sports,Infogrames,0.1,0.03,0.0,0.0,0.13,44.6,4.46,1.34,0.0,0.0,5.8,21
9555,Transformers: War for Cybertron -- Decepticons,DS,2010.0,Action,Activision,0.11,0.01,0.0,0.01,0.13,27.36,3.01,0.27,0.0,0.27,3.56,14
9556,Overlord: Raising Hell,PS3,2008.0,Action,Codemasters,0.07,0.04,0.0,0.02,0.13,38.13,2.67,1.53,0.0,0.76,4.96,16
9557,Sega GT,DC,2000.0,Racing,Sega,0.0,0.0,0.13,0.0,0.13,68.09,0.0,0.0,8.85,0.0,8.85,24
9558,Fuse (Insomniac),X360,2013.0,Shooter,Electronic Arts,0.08,0.04,0.0,0.01,0.13,57.21,4.58,2.29,0.0,0.57,7.44,11
9559,Cabela's Dangerous Hunts 2009,PS3,2008.0,Sports,Activision Value,0.12,0.0,0.0,0.01,0.13,20.34,2.44,0.0,0.0,0.2,2.64,16
9560,Legends of Wrestling,GC,2002.0,Fighting,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.13,14.39,1.44,0.43,0.0,0.0,1.87,22
9561,Space Bust-A-Move,DS,2008.0,Puzzle,Square Enix,0.1,0.02,0.0,0.01,0.13,36.48,3.65,0.73,0.0,0.36,4.74,16
9562,Legend of the Guardians: The Owls of Ga'Hoole,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,0.11,0.01,0.0,0.01,0.13,10.26,1.13,0.1,0.0,0.1,1.33,14
9563,Gunstar Heroes,GEN,1992.0,Shooter,Sega,0.0,0.0,0.13,0.0,0.13,49.35,0.0,0.0,6.42,0.0,6.42,32
9564,All-Star Baseball 2004,XB,2003.0,Sports,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.13,42.79,4.28,1.28,0.0,0.0,5.56,21
9565,Tamagotchi no Pichi Pichi Omisecchi,DS,2010.0,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,26.19,0.0,0.0,3.4,0.0,3.4,14
9566,Shining Wind,PS2,2007.0,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13,19.03,0.0,0.0,2.47,0.0,2.47,17
9567,Brothers in Arms: Double Time,Wii,2008.0,Shooter,Ubisoft,0.11,0.0,0.0,0.01,0.13,57.56,6.33,0.0,0.0,0.58,7.48,16
9568,Portal Runner,PS2,2001.0,Platform,3DO,0.06,0.05,0.0,0.02,0.13,49.03,2.94,2.45,0.0,0.98,6.37,23
9569,Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,0.09,0.03,0.0,0.0,0.13,12.75,1.15,0.38,0.0,0.0,1.66,20
9570,Pro Evolution Soccer 2016,X360,2015.0,Sports,Konami Digital Entertainment,0.04,0.08,0.0,0.01,0.13,49.48,1.98,3.96,0.0,0.49,6.43,9
9571,Batman: Arkham Knight,PC,2015.0,Action,Warner Bros. Interactive Entertainment,0.08,0.03,0.0,0.01,0.13,33.83,2.71,1.01,0.0,0.34,4.4,9
9572,Warriors Orochi 2,PS2,2008.0,Action,Tecmo Koei,0.06,0.05,0.0,0.02,0.13,51.29,3.08,2.56,0.0,1.03,6.67,16
9573,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,PS2,2005.0,Platform,Ubisoft,0.06,0.05,0.0,0.02,0.13,39.45,2.37,1.97,0.0,0.79,5.13,19
9574,Need for Speed: ProStreet,DS,2007.0,Racing,Electronic Arts,0.11,0.01,0.0,0.01,0.13,39.33,4.33,0.39,0.0,0.39,5.11,17
9575,Assault: Retribution,PS,1998.0,Action,Telstar,0.07,0.05,0.0,0.01,0.13,19.46,1.36,0.97,0.0,0.19,2.53,26
9576,Sengoku Basara 3 Utage,Wii,2011.0,Action,Capcom,0.0,0.0,0.13,0.0,0.13,55.38,0.0,0.0,7.2,0.0,7.2,13
9577,Spartan: Total Warrior,XB,2005.0,Action,Sega,0.1,0.03,0.0,0.0,0.13,50.53,5.05,1.52,0.0,0.0,6.57,19
9578,Gravity Rush Remastered,PS4,2015.0,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,41.17,0.82,2.06,1.65,0.41,5.35,9
9579,Rock Band Track Pack Volume 2,PS3,2008.0,Misc,MTV Games,0.11,0.0,0.0,0.01,0.13,50.49,5.55,0.0,0.0,0.5,6.56,16
9580,City Crisis,PS2,2001.0,Simulation,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13,41.86,2.51,2.09,0.0,0.84,5.44,23
9581,Zapper: One Wicked Cricket!,GC,2002.0,Platform,Infogrames,0.1,0.03,0.0,0.0,0.13,51.3,5.13,1.54,0.0,0.0,6.67,22
9582,Star Wars: Clone Wars,XB,2003.0,Shooter,LucasArts,0.1,0.03,0.0,0.0,0.13,24.76,2.48,0.74,0.0,0.0,3.22,21
9583,Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,46.26,0.0,0.0,6.01,0.0,6.01,9
9584,Dynasty Warriors 5 Empires,X360,2006.0,Action,Tecmo Koei,0.11,0.01,0.0,0.01,0.13,66.74,7.34,0.67,0.0,0.67,8.68,18
9585,High Rollers Casino,XB,2004.0,Misc,Mud Duck Productions,0.1,0.03,0.0,0.0,0.13,44.64,4.46,1.34,0.0,0.0,5.8,20
9586,Advent Rising,XB,2005.0,Action,THQ,0.1,0.03,0.0,0.0,0.13,24.41,2.44,0.73,0.0,0.0,3.17,19
9587,Surf Riders,PS,1999.0,Sports,Ubisoft,0.07,0.05,0.0,0.01,0.13,50.83,3.56,2.54,0.0,0.51,6.61,25
9588,Torino 2006,PS2,2006.0,Sports,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13,37.08,2.22,1.85,0.0,0.74,4.82,18
9589,Nobunaga no Yabou: Ranseiki,PS2,2002.0,Strategy,Tecmo Koei,0.0,0.0,0.13,0.0,0.13,11.93,0.0,0.0,1.55,0.0,1.55,22
9590,Derby Stallion Advance,GBA,2002.0,Sports,Enterbrain,0.0,0.0,0.12,0.0,0.13,67.58,0.0,0.0,8.11,0.0,8.79,22
9591,PBR: Out of the Chute,Wii,2008.0,Sports,Crave Entertainment,0.12,0.0,0.0,0.01,0.13,37.99,4.56,0.0,0.0,0.38,4.94,16
9592,Monopoly Party,GC,2002.0,Misc,Infogrames,0.1,0.03,0.0,0.0,0.13,29.93,2.99,0.9,0.0,0.0,3.89,22
9593,LEGO Batman 2: DC Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.05,0.07,0.0,0.01,0.13,51.03,2.55,3.57,0.0,0.51,6.63,11
9594,Thor: God of Thunder,DS,2011.0,Action,Sega,0.09,0.03,0.0,0.01,0.13,26.28,2.37,0.79,0.0,0.26,3.42,13
9595,TOCA Race Driver 2: Ultimate Racing Simulator,XB,2004.0,Racing,Codemasters,0.09,0.03,0.0,0.0,0.13,38.75,3.49,1.16,0.0,0.0,5.04,20
9596,The Price is Right: Decades,Wii,2011.0,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13,12.33,1.48,0.0,0.0,0.12,1.6,13
9597,Snood,GBA,2001.0,Puzzle,"Destination Software, Inc",0.09,0.03,0.0,0.0,0.13,18.73,1.69,0.56,0.0,0.0,2.43,23
9598,The Sky Crawlers: Innocent Aces,Wii,2008.0,Simulation,Namco Bandai Games,0.09,0.02,0.01,0.01,0.13,65.92,5.93,1.32,0.66,0.66,8.57,16
9599,Avatar: The Last Airbender - Into the Inferno,DS,2008.0,Adventure,THQ,0.11,0.01,0.0,0.01,0.13,30.31,3.33,0.3,0.0,0.3,3.94,16
9600,Fit in Six,PS3,2011.0,Sports,Ubisoft,0.12,0.0,0.0,0.01,0.13,67.28,8.07,0.0,0.0,0.67,8.75,13
9601,Monster Jam: Urban Assault,PS2,2008.0,Racing,Activision,0.06,0.05,0.0,0.02,0.13,47.02,2.82,2.35,0.0,0.94,6.11,16
9602,Ice Age: Dawn of the Dinosaurs,X360,2009.0,Action,Activision,0.09,0.03,0.0,0.01,0.13,21.33,1.92,0.64,0.0,0.21,2.77,15
9603,DT Racer,PS2,2005.0,Racing,XS Games,0.06,0.05,0.0,0.02,0.13,17.71,1.06,0.89,0.0,0.35,2.3,19
9604,SimAnimals Africa,Wii,2009.0,Simulation,Electronic Arts,0.1,0.01,0.0,0.01,0.13,12.74,1.27,0.13,0.0,0.13,1.66,15
9605,Deepak Chopra's Leela,X360,2011.0,Misc,THQ,0.07,0.05,0.0,0.01,0.13,63.93,4.48,3.2,0.0,0.64,8.31,13
9606,Twister Mania,X360,2011.0,Misc,505 Games,0.1,0.01,0.0,0.01,0.13,57.42,5.74,0.57,0.0,0.57,7.46,13
9607,World Cup Golf: Professional Edition,PS,1995.0,Sports,U.S. Gold,0.07,0.05,0.0,0.01,0.13,43.94,3.08,2.2,0.0,0.44,5.71,29
9608,Black Dawn,PS,1996.0,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01,0.13,55.83,3.91,2.79,0.0,0.56,7.26,28
9609,Soccer Tsuku: Pro Soccer Club o Tsukurou!,PS3,2013.0,Sports,Sega,0.0,0.0,0.13,0.0,0.13,19.64,0.0,0.0,2.55,0.0,2.55,11
9610,428: Fuusa Sareta Shibuya de,Wii,2008.0,Adventure,Sega,0.0,0.0,0.13,0.0,0.13,16.18,0.0,0.0,2.1,0.0,2.1,16
9611,Kelly Slater's Pro Surfer,GBA,2002.0,Sports,Activision,0.09,0.03,0.0,0.0,0.13,55.35,4.98,1.66,0.0,0.0,7.2,22
9612,Warriors of Might and Magic,PS,2001.0,Adventure,3DO,0.07,0.05,0.0,0.01,0.13,56.61,3.96,2.83,0.0,0.57,7.36,23
9613,Drome Racers,PS2,2002.0,Racing,Electronic Arts,0.06,0.05,0.0,0.02,0.13,45.87,2.75,2.29,0.0,0.92,5.96,22
9614,X-Men: Next Dimension,GC,2002.0,Fighting,Activision,0.1,0.03,0.0,0.0,0.13,16.6,1.66,0.5,0.0,0.0,2.16,22
9615,Impossible Mission,DS,2007.0,Platform,System 3 Arcade Software,0.12,0.0,0.0,0.01,0.13,60.51,7.26,0.0,0.0,0.61,7.87,17
9616,NCIS,PS3,2011.0,Adventure,Ubisoft,0.07,0.04,0.0,0.02,0.13,45.51,3.19,1.82,0.0,0.91,5.92,13
9617,Cabela's Dangerous Hunts 2011,DS,2010.0,Sports,Activision,0.12,0.0,0.0,0.01,0.13,57.11,6.85,0.0,0.0,0.57,7.42,14
9618,Garfield's Fun Fest,DS,2008.0,Platform,Zoo Digital Publishing,0.07,0.04,0.0,0.01,0.13,58.13,4.07,2.33,0.0,0.58,7.56,16
9619,7th Dragon 2020-II,PSP,2013.0,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13,15.33,0.0,0.0,1.99,0.0,1.99,11
9620,Doukyuusei 2,SAT,1997.0,Role-Playing,NEC Interchannel,0.0,0.0,0.13,0.0,0.13,59.71,0.0,0.0,7.76,0.0,7.76,27
9621,SkullMonkeys,PS,1998.0,Platform,DreamWorks Interactive,0.07,0.05,0.0,0.01,0.13,35.52,2.49,1.78,0.0,0.36,4.62,26
9622,Cloudy With a Chance of Meatballs,Wii,2009.0,Platform,Ubisoft,0.11,0.0,0.0,0.01,0.13,25.21,2.77,0.0,0.0,0.25,3.28,15
9623,Burnout,XB,2002.0,Racing,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.13,13.96,1.26,0.42,0.0,0.0,1.81,22
9624,Zenses: Ocean,DS,2008.0,Puzzle,Game Factory,0.11,0.01,0.0,0.01,0.13,12.64,1.39,0.13,0.0,0.13,1.64,16
9625,Ben 10 Galactic Racing,Wii,2011.0,Racing,D3Publisher,0.08,0.03,0.0,0.01,0.13,31.1,2.49,0.93,0.0,0.31,4.04,13
9626,Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009.0,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13,22.67,2.72,0.0,0.0,0.23,2.95,15
9627,Baroque,PS2,2007.0,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13,27.55,1.38,1.1,0.55,0.28,3.58,17
9628,Left Brain Right Brain 2,DS,2008.0,Misc,Majesco Entertainment,0.12,0.0,0.0,0.01,0.13,61.54,7.38,0.0,0.0,0.62,8.0,16
9629,Dynasty Warriors: Gundam Reborn,PSV,2013.0,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,46.6,0.0,0.0,6.06,0.0,6.06,11
9630,Kidz Sports: Crazy Golf,Wii,2008.0,Sports,Data Design Interactive,0.11,0.0,0.0,0.01,0.13,38.42,4.23,0.0,0.0,0.38,4.99,16
9631,Little Battlers eXperience: Wars,3DS,2013.0,Strategy,Level 5,0.0,0.0,0.13,0.0,0.13,45.74,0.0,0.0,5.95,0.0,5.95,11
9632,Victorious: Time to Shine,X360,2011.0,Action,D3Publisher,0.12,0.0,0.0,0.01,0.13,55.23,6.63,0.0,0.0,0.55,7.18,13
9633,NBA Ballers: Phenom,XB,2006.0,Sports,Midway Games,0.09,0.03,0.0,0.0,0.13,37.15,3.34,1.11,0.0,0.0,4.83,18
9634,Aikatsu! 365 Idol Days,3DS,2014.0,Adventure,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,47.09,0.0,0.0,6.12,0.0,6.12,10
9635,Petz Puppyz & Kittenz,DS,2011.0,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13,57.51,6.9,0.0,0.0,0.58,7.48,13
9636,Crash Tag Team Racing,XB,2005.0,Racing,Vivendi Games,0.09,0.03,0.0,0.0,0.13,34.93,3.14,1.05,0.0,0.0,4.54,19
9637,Freedom Fighters,GC,2003.0,Shooter,Electronic Arts,0.1,0.03,0.0,0.0,0.13,24.41,2.44,0.73,0.0,0.0,3.17,21
9638,The Stronghold Collection,PC,2009.0,Strategy,Take-Two Interactive,0.03,0.08,0.0,0.02,0.13,68.28,2.05,5.46,0.0,1.37,8.88,15
9639,Operation Abyss: New Tokyo Legacy,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.04,0.01,0.06,0.02,0.13,60.69,2.43,0.61,3.64,1.21,7.89,10
9640,Transformer: Rise of the Dark Spark,PS3,2014.0,Action,Activision,0.04,0.05,0.01,0.02,0.13,49.79,1.99,2.49,0.5,1.0,6.47,10
9641,Mega Man X Collection,GC,2006.0,Misc,Capcom,0.1,0.03,0.0,0.0,0.13,12.12,1.21,0.36,0.0,0.0,1.58,18
9642,Detana TwinBee Yahho! Deluxe Pack,SAT,1995.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,34.44,0.0,0.0,4.48,0.0,4.48,29
9643,Dragon Ball: Origins,DS,2008.0,Action,Atari,0.09,0.03,0.0,0.01,0.13,60.11,5.41,1.8,0.0,0.6,7.81,16
9644,Last Ranker,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13,33.07,0.0,0.0,4.3,0.0,4.3,14
9645,Quantum Redshift,XB,2002.0,Racing,Microsoft Game Studios,0.09,0.03,0.0,0.0,0.13,27.21,2.45,0.82,0.0,0.0,3.54,22
9646,Smash Court Tennis Pro Tournament 2,PS2,2004.0,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,21.43,1.29,1.07,0.0,0.43,2.79,20
9647,Eat Lead: The Return of Matt Hazard,X360,2009.0,Shooter,D3Publisher,0.1,0.01,0.0,0.01,0.13,53.67,5.37,0.54,0.0,0.54,6.98,15
9648,Battleborn,XOne,2016.0,Shooter,Take-Two Interactive,0.08,0.04,0.0,0.01,0.13,27.87,2.23,1.11,0.0,0.28,3.62,8
9649,Legends of Wrestling II,XB,2002.0,Fighting,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.13,66.27,5.96,1.99,0.0,0.0,8.62,22
9650,Power Pro Kun Pocket 13,DS,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,56.6,0.0,0.0,7.36,0.0,7.36,14
9651,Armed and Dangerous,XB,2003.0,Shooter,LucasArts,0.09,0.03,0.0,0.0,0.13,51.09,4.6,1.53,0.0,0.0,6.64,21
9652,Jurassic: The Hunted,X360,2009.0,Shooter,Activision,0.12,0.0,0.0,0.01,0.13,69.25,8.31,0.0,0.0,0.69,9.0,15
9653,Adventures to Go!,PSP,2008.0,Role-Playing,Zushi Games,0.1,0.0,0.01,0.01,0.13,49.69,4.97,0.0,0.5,0.5,6.46,16
9654,Conduit 2,Wii,2011.0,Shooter,Sega,0.07,0.04,0.0,0.01,0.13,69.16,4.84,2.77,0.0,0.69,8.99,13
9655,Supremacy MMA,PS3,2011.0,Fighting,505 Games,0.06,0.04,0.0,0.02,0.13,62.15,3.73,2.49,0.0,1.24,8.08,13
9656,World Soccer Winning Eleven 2002,PS,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.01,0.13,27.02,0.0,0.0,3.24,0.27,3.51,22
9657,Geometry Wars: Galaxies,Wii,2007.0,Shooter,Vivendi Games,0.11,0.0,0.0,0.01,0.13,28.67,3.15,0.0,0.0,0.29,3.73,17
9658,Actua Tennis,PS,1997.0,Sports,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01,0.13,17.7,1.24,0.88,0.0,0.18,2.3,27
9659,Horse Life,DS,2007.0,Simulation,Game Life,0.09,0.02,0.0,0.01,0.13,33.84,3.05,0.68,0.0,0.34,4.4,17
9660,Monster Truck Madness,GBA,2003.0,Racing,THQ,0.09,0.03,0.0,0.0,0.12,18.76,1.69,0.56,0.0,0.0,2.25,21
9661,Sonic Jam,SAT,1997.0,Platform,Sega,0.0,0.0,0.12,0.0,0.12,41.96,0.0,0.0,5.04,0.0,5.04,27
9662,Puella Magi Madoka Magica Portable,PSP,2012.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,53.06,0.0,0.0,6.37,0.0,6.37,12
9663,Ninja Reflex,Wii,2008.0,Action,Electronic Arts,0.11,0.01,0.0,0.01,0.12,30.03,3.3,0.3,0.0,0.3,3.6,16
9664,Peter Jacobsen's Golden Tee Golf,PS,2000.0,Sports,Infogrames,0.07,0.05,0.0,0.01,0.12,38.54,2.7,1.93,0.0,0.39,4.62,24
9665,Calling,Wii,2009.0,Adventure,Konami Digital Entertainment,0.07,0.04,0.0,0.01,0.12,64.3,4.5,2.57,0.0,0.64,7.72,15
9666,Marvel Avengers: Battle for Earth,WiiU,2012.0,Action,Ubisoft,0.07,0.04,0.0,0.01,0.12,58.05,4.06,2.32,0.0,0.58,6.97,12
9667,Disney's Atlantis: The Lost Empire,GBA,2001.0,Platform,THQ,0.09,0.03,0.0,0.0,0.12,21.44,1.93,0.64,0.0,0.0,2.57,23
9668,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998.0,Sports,Sega,0.0,0.0,0.12,0.0,0.12,42.28,0.0,0.0,5.07,0.0,5.07,26
9669,Charm Girls Club: My Fashion Mall,DS,,Simulation,Unknown,0.12,0.0,0.0,0.01,0.12,68.86,8.26,0.0,0.0,0.69,8.26,0
9670,Where the Wild Things Are,Wii,2009.0,Platform,Warner Bros. Interactive Entertainment,0.11,0.0,0.0,0.01,0.12,12.5,1.38,0.0,0.0,0.12,1.5,15
9671,High Velocity: Mountain Racing Challenge,SAT,1995.0,Racing,Atlus,0.0,0.0,0.12,0.0,0.12,13.72,0.0,0.0,1.65,0.0,1.65,29
9672,NHL 2K7,PS3,2006.0,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12,27.46,3.02,0.0,0.0,0.27,3.3,18
9673,Resident Evil,PS3,2006.0,Action,Capcom,0.0,0.0,0.12,0.0,0.12,66.79,0.0,0.0,8.01,0.0,8.01,18
